Π中間子 	パイちゅうかんし	 pion (physics)
とえ 	十重	 tenfold
とえはたえ 	十重二十重	 multitude
とお 	遠	 distant (a-no) too 2  
とおあさ 	遠浅	 shoal, wide shallow beach
とおい 	遠い	 far, distant
とおえん 	遠縁	 distant relative
とおか 	十日	 ten days, the tenth (day of the month)
とおかのきく 	十日の菊	 coming too late
とおからず 	遠からず	 soon, in the near future
とおく 	遠く	 far away, distant (a-no), at a distance, distant place, by far
とおざかる 	遠ざかる	 to go far off
とおざける 	遠ざける	 to keep away, to keep at a distance
とおしばんごう 	通し番号	 serial number, consecutive number
とおす 	通す	 to let pass, to overlook, to continue, to keep, to make way for, to persist in
とおすぎる 	遠過ぎる	 to be too far
とおせんぼう 	通せん坊	 stand in the way, block the way
とおで 	遠出	 going afar
とおなじように 	と同じように	 in the same way as, just like
とおなり 	遠鳴り	 distant peals (thunder), distant roar (sea)
とおね 	遠音	 distant sound
とおのく 	遠退く	 to become distant, to recede
とおのける 	遠退ける	 to keep (someone) at a distance
とおのむかし 	遠の昔	 long ages ago
とおのり 	遠乗り	 long ride
とおび 	遠火	 building fire at distance
とおぼえ 	遠吠え	 howling
とおまき 	遠巻き	 surrounding at a distance
とおまわし 	遠回し	 indirect (roundabout) expression
とおまわり 	遠回り	 detour, roundabout way
とおみ 	遠見	 watchtower, distant view
とおみち 	遠道	 long walk, roundabout way
とおめ 	遠目	 distant view, farsightedness
とおめがね 	遠眼鏡	 telescope (obs)
とおや 	遠矢	 long-distance arrow (archery)
とおり 	通り	 avenue, street, way
とおりあめ 	通り雨	 shower
とおりかかる 	通りかかる	 to happen to pass by
とおりがかりのひと 	通り掛かりの人	 a passer-by
とおりこす 	通り越す	 to go past (a place or thing), to go beyond
とおりすがり 	通りすがり	 on the way (a-no), passing, that happen to pass by
とおりすぎる 	通り過ぎる	 to pass, to pass through
とおりな 	通名	 one's popular name, house name
とおりぬける 	通り抜ける	 to cut through, to go through
とおりま 	通り魔	 phantom killer, phantom thief
とおりみち 	通り道	 passage, path, route, one's way
とおる 	通る	 to pass (by), to go through, to walk along, to pass exams
とかく 	兎角	 anyhow, anyway, somehow or other, generally speaking, in any case, this and that, many, be apt to
とかげ 	蜥蜴	 lizard
とかす 	解かす	 to comb out tokasu 2  
とかていして 	と仮定して	 assuming that..., supposing that...
とかていしても 	と仮定しても	 even assuming that..., even granted that...
とかんがえられる 	と考えられる	 one can think that ..., it is conceivable that...
とが 	都雅	 graceful (an), sophisticated (an)
とがった 	尖った	 pointed, sharp
とがにん 	咎人	 offender, criminal
とがめる 	咎める	 to blame, to find fault, to take someone to task, to aggravate (an injury)
とがる 	尖る	 to taper to a point, to become sharp, to be sour, to look displeased
ときあかす 	説き明かす	 to explain, to solve, to make clear
ときいだす 	説き出す	 to begin to speak, to begin to explain
ときおり 	時おり	 sometimes tokiori 2  
とききかせる 	説き聞かせる	 to explain, to reason
ときどき 	時々	 sometimes tokidoki 2  
ときには 	時には	 at times (id), occasionally
ときのみかど 	時の帝	 emperor of the time
ときふせる 	説き伏せる	 to confute, to argue down
ときん 	鍍金	 gilt, plating, pretense
とぎ 	伽	 nursing, nurse, attending, attendant, entertainer
とぎいし 	磨石	 whetstone, grindstone
とぎしばい 	伽芝居	 fairy play, pantomime
とぎしる 	磨汁	 water that has been used to wash rice
とぎぞうし 	伽草子	 fairy-tale book
とぎばなし 	伽話	 fairy tale, nursery tale
とぎれとぎれ 	途切れ途切れ	 broken, intermittent (a-no), disconnected
とぎれる 	跡切れる	 to pause, to be interrupted togireru 2  
とく 	解く	 to solve, to answer, to untie toku 2  
とくい 	得意	 pride, triumph, prosperity, one's strong point (an), one's forte, one's specialty, customer, client tokui 2  
とくいげ 	得意気	 proud (an), elated
とくいさき 	得意先	 favorite customer
とくいせい 	特異性	 singularity, peculiarity, idiosyncrasy
とくいちぶんかい 	特異値分解	 singular value analysis
とくいてん 	特異点	 singular point
とくがく 	篤学	 love of learning
とくぎ 	特技	 special skill
とくさく 	得策	 profitable plan (an), good plan
とくさつ 	特撮	 special effects (abbr) (from tokushu satsuei), SFX
とくさん 	特産	 specialty, special product
とくさんぶつ 	特産物	 special product, specialty
とくし 	特使	 special envoy
とくしか 	篤志家	 volunteer, self-sacrificing person
とくしつ 	特質	 characteristic, special quality
とくしまけん 	徳島県	 prefecture on the island of Shikoku
とくしゃ 	特赦	 amnesty
とくしゅ 	特殊	 special (an), unique
とくしゅう 	特集	 feature (e.g. newspaper), special edition, report
とくしゅきのう 	特殊機能	 special function
とくしゅこう 	特殊鋼	 special steel
とくしゅさつえい 	特殊撮影	 SFX, special effects
とくしゅせい 	特殊性	 special characteristics, peculiarity, distinctiveness
とくしゅぶたい 	特殊部隊	 special (military) force(s)
とくしゅほうじん 	特殊法人	 semigovernmental corporation
とくしょう 	特賞	 special prize
とくしょく 	特色	 characteristic, feature
とくじゅ 	特需	 emergency demands, special procurement (particularly in time of war)
とくせい 	特性	 characteristic tokusei 2  
とくせいラーメン 	特製ラーメン	 special ramen
とくせん 	特撰	 special, select
とくそく 	督促	 urge, demand, importunity (vs)
とくたい 	特待	 special treatment, priority
とくたいせい 	特待生	 scholarship student
とくだい 	特大	 extra-large
とくだね 	特種	 exclusive news, a scoop
とくだん 	特段	 special
とくちょう 	特徴	 feature, characteristic tokuchou 2  
とくちょうちゅうしゅつ 	特徴抽出	 feature extraction
とくちょうりょう 	特徴量	 feature value
とくてい 	特定	 specific, special, particular (vs)
とくてん 	得点	 score tokuten 2  
とくに 	特に	 particularly, especially
とくになし 	特になし	 nothing in particular, none in particular
とくのうか 	篤農家	 exemplary farmer, outstanding farmer
とくのたかい 	徳の高い	 virtuous, respectable
とくは 	特派	 send specially (vs), special envoy
とくはいん 	特派員	 correspondent
とくばい 	特売	 special sale (vs)
とくひつ 	特筆	 special mention
とくひつすべき 	特筆すべき	 worthy of special mention
とくひょう 	得票	 number of votes polled, poll votes (vs)
とくひょうりつ 	得票率	 percentage of votes
とくべつ 	特別	 special (an)
とくべつい 	特別委	 special committee
とくべつぎょうせいく 	特別行政区	 special administrative region (i.e. Hong Kong)
とくべつそうかい 	特別総会	 special meeting
とくべつばくりょう 	特別幕僚	 special staff
とくべつエディション 	特別エディション	 special edition
とくほう 	特報	 news flash
とくほん 	読本	 reading-book
とくめい 	匿名	 anonymity, pseudonym tokumei 2  
とくめいせい 	匿名性	 anonymity
とくやく 	特約	 special contract
とくゆう 	特有	 characteristic (of) (a-no), peculiar (to)
とくよう 	徳用	 economical (an)
とくらべて 	と比べて	 compared with
とくれい 	特例	 special case, exception tokurei 2  
とぐ 	研ぐ	 to sharpen, to polish togu 2  
とぐち 	戸口	 door
とけあう 	溶け合う	 to melt together
とけい 	時計	 watch, clock
とけいざら 	時計皿	 watch glass
とけいだい 	時計台	 clock stand, clock tower
とけいてん 	時計店	 watchmaker's
とけいや 	時計屋	 watch store, watch dealer
とけこむ 	溶け込む	 to melt into
とけつ 	兎欠	 harelip toketsu 2  
とけやすい 	溶けやすい	 soluble
とける 	解ける	 to loosen tokeru 2  
とげ 	刺	 thorn, splinter, spine, biting words toge 2  
とげうお 	刺魚	 stickleback (fish)
とげとげしい 	刺々しい	 sharp, harsh, stinging togetogeshii 2  
とげぬき 	刺抜き	 tweezers, forceps
とげる 	遂げる	 to accomplish, to achieve, to carry out
とげをぬく 	刺を抜く	 to pull out a thorn
とこ 	床	 bed, sickbed, alcove, padding toko 2  
とこう 	渡航	 voyage
とこしえ 	永久	 eternity, perpetuity, immortality tokoshie 2  
とこしえに 	永久に	 everlastingly
とこしなえ 	常しなえ	 eternity
とこのま 	床の間	 alcove
とこや 	床屋	 barber
とこよ 	常世	 distant
とこよのくに 	常世の国	 distant country, heaven, hades
ところ 	所	 place
ところどころ 	所々	 here and there, some parts (of something) tokorodokoro 2  
とさか 	鶏冠	 cockscomb, crest
とさつ 	屠殺	 slaughter (vs)
とさつじょう 	屠殺場	 abattoir
とざす 	閉ざす	 to shut, to close, to lock, to fasten, to plunge (in grief)
とざま 	外様	 collateral line, one not included in the favored group, outsider, outside daimyo
とざん 	登山	 mountain-climbing (vs)
とざんきゃく 	登山客	 mountain climber
とし 	都市	 town, city, municipal, urban toshi 2  
としあける 	年明ける	 the New Year dawns
としあらたまる 	年改まる	 the New Year dawns
としうえ 	年上	 older, senior
としおい 	年老	 old person toshioi 2  
としおいる 	年老いる	 to grow old
としおとこ 	年男	 bean scatterer
としかさ 	年嵩	 senior, older, elderly
としがいもない 	年甲斐も無い	 unbecoming, unsuitable, disgraceful
としがけ 	年掛け	 yearly payment
としがしら 	年頭	 the oldest person, beginning of the year
としがとし 	年が年	 considering this age
としがよる 	年が寄る	 to grow old
としくれる 	年暮れる	 the year ends
としこし 	年越し	 New Year's Eve, end of year
としご 	年子	 second child born within a year
としごとに 	年毎に	 annually, every year
としごろ 	年頃	 age, marriageable age, age of puberty, adolescence, for some years
としごろひごろ 	年頃日頃	 these days
としざかり 	年盛り	 prime of life
としした 	年下	 younger, junior
としだま 	年玉	 New Year's gift
としつき 	年月	 months and years
としづよい 	年強い	 child born in first half of the year
としとる 	年取る	 to grow old, to age
としどし 	年々	 years, year by year, annually, considering his age toshidoshi 2  
としなみ 	年波	 old age, oncoming age
としのいち 	年の市	 year-end fair
としのくれ 	年の暮れ	 year end
としのこう 	年の功	 old-man's wisdom (arch)
としのせ 	年の瀬	 New Year's Eve, the year end
としのまめ 	年の豆	 beans of the bean-scattering ceremony
としは 	年端	 age, years
としひさしく 	年久しく	 for many years, anciently
としま 	年増	 mature woman, middle-aged woman
としまつり 	年祭り	 annual festival
としまわり 	年回り	 age relationship, luck attending age
としゅ 	徒手	 being empty-handed, being penniless toshu 2  
としゅくうけん 	徒手空拳	 empty-handed, with nothing to start with, without capital
としょ 	図書	 books
としょう 	徒渉	 wade across (vs)
としょかん 	図書館	 library
としょかんいん 	図書館員	 librarian
としょしつ 	図書室	 library room
としより 	年寄	 old people, the aged toshiyori 2  
としよりくさい 	年寄り臭い	 slovenly like an old man
としよりご 	年寄り子	 child of one's age
としよりじみた 	年寄り染みた	 characteristic of the aging
としよりやく 	年寄り役	 senior's role
としよる 	年寄る	 to grow old
としよわ 	年弱	 child born in last half of the year
としわか 	年若	 young (a-no), youthful
としわかい 	年若い	 young, youthful
としわすれ 	年忘れ	 year-end drinking party
としをこす 	年を越す	 to enter a new year
としをとる 	年を取る	 to grow old, to age
としをひろう 	年を拾う	 to grow old
としん 	兎脣	 harelip toshin 2  
とじこむ 	綴じ込む	 (io) to (keep on) file tojikomu 2  
とじこめる 	閉じ込める	 to lock up, to shut up, to imprison
とじこもる 	閉じ篭る	 to seclude oneself, to shut oneself away
とじまり 	戸締り	 closing up
とじょう 	途上	 en route, half way
とじょうこく 	途上国	 developing country
とじる 	綴じる	 to bind, to file tojiru 2  
とせい 	渡世	 livelihood, subsistence, business
とぜつ 	杜絶	 stoppage, interruption, cessation, suspension tozetsu 2  
とそう 	塗装	 coating
とたんに 	途端に	 just as, in the act of
とたんのくるしみ 	塗炭の苦しみ	 misery (id), distress
とだえる 	途絶える	 to stop, to cease, to come to an end
とだな 	戸棚	 cupboard, locker
とち 	土地	 plot of land, lot, soil
とちがら 	土地柄	 local colour
とちぎけん 	栃木県	 prefecture in the Kantou area
とちのひと 	土地の人	 locals, natives
とちゅう 	途中	 on the way
とちゅうげしゃ 	途中下車	 stopover
とちょう 	都庁	 Tokyo Government Office
とっかえひっかえ 	取っかえ引っかえ	 alternately
とっかく 	凸角	 convex angle
とっかん 	突貫	 charge, rush, lightning attack (vs)
とっき 	特記	 special mention (vs) tokki 2  
とっきゅう 	ゅu 特急	 limited express (train, faster than an express) tokkyu 2  
とっきょ 	ょ 特許	 special permission, patent tokkyo 2  
とっくみあう 	取っ組合う	 to come to grips with, to fight
とっくり 	徳利	 sake bottle
とっくん 	特訓	 special training, intensive training, crash course
とっけいかんぜい 	特恵関税	 favourable tariff
とっけん 	特権	 privilege, special right
とっこう 	特功	 special efficacy tokkou 2  
とっこうたい 	特攻隊	 suicide squad
とっこうやく 	特効薬	 a specific medicine
とっさ 	咄嗟	 moment, instant
とっさに 	咄嗟に	 at once
とっしゅつ 	ゅtsu 突出	 projection, protrusion
とっしん 	突進	 rush (vs), charge
とったつ 	突立	 stand straight up
とったん 	突端	 tip of a headland, point
とって 	把っ手	 handle, grip totte 2  
とってい 	突堤	 breakwater tottei 2  
とってまいる 	取って参る	 to fetch (something)
とっとりけん 	鳥取県	 prefecture in the Chuugoku area
とっぱ 	突破	 breaking through, breakthrough (vs), penetration
とっぱこう 	突破口	 breach
とっぱつ 	突発	 outbreak, occurrence
とっぱつてき 	突発的	 sudden (an), unexpected
とっぱな 	突端	 tip of a headland, point
とっぱん 	凸版	 letterpress, relief printing
とっぱんいんさつ 	凸版印刷	 letterpress, relief printing
とっぴ 	突飛	 erratic (an), offbeat, wild, extraordinary
とっぴょうしもない 	ょushimonai 突拍子もない	 crazy, exorbitant
とっぷう 	突風	 squall, sudden gust
とつえん 	凸円	 convexity
とつおう 	凸凹	 unevenness, ruggedness, roughness
とつぐ 	嫁ぐ	 to marry
とつげき 	突撃	 assault
とつげきたいいん 	突撃隊員	 stormtroopers
とつじょ 	突如	 suddenly, all of a sudden
とつじょう 	凸状	 protrusion
とつぜん 	突然	 abruptly, suddenly, all at once (a-no)
とつぜんし 	突然死	 sudden death
とつぜんへんい 	突然変異	 mutation
とつとつ 	咄々	 (tongue) clicking, groaning, exclamation of surprise totsutotsu 2  
とつにゅう 	突入	 rushing (vs), breaking into
とつべん 	訥弁	 slowness of speech (an), awkwardness of speech
とつめざかり 	勤め盛り	 the prime of one's career
とつめん 	凸面	 convex surface, convex (a-no)
とつめんきょう 	凸面鏡	 convex lens
とつレンズ 	凸レンズ	 convex lens
とてい 	徒弟	 apprentice
ととう 	徒党	 conspirators, faction, cabal, clique
ととのう 	整う	 to be put in order, to be arranged, to be prepared totonou 2  
ととのえ 	整え	 preparation, arrangement, execution
ととのえる 	整える	 to put in order, to get ready, to arrange, to adjust totonoeru 2  
とともに 	と共に	 together with
とど 	海馬	 Steller's sea lion
とどうふけん 	都道府県	 administrative divisions of Japan: Tokyo-to, Hokkai-do, Osaka-fu, Kyoto-fu and remaining prefectures
とどく 	届く	 to reach (vi)
とどけ 	届	 report, notification, registration todoke 2  
とどけさき 	届け先	 destination, receiver's address, consignee
とどけで 	届出	 report (vs), notification
とどけでる 	届け出る	 to report, to notify
とどける 	届ける	 to deliver, to forward, to send, to report, to file notice (to the authorities)
とどこおり 	滞り	 stagnation, hindrance, delay
とどこおる 	滞る	 to stagnate, to be delayed
とどまつ 	椴	 fir, white fir
とどまる 	止まる	 to be limited to todomaru 2  
とどめ 	止め	 finishing blow, clincher
とどめる 	止める	 to stop, to cease, to put an end to todomeru 2  
とどろく 	轟く	 to roar
とない 	都内	 metropolitan area
とないかた 	唱い方	 method of chanting
となえる 	唱える	 to recite, to chant, to call upon tonaeru 2  
となり 	隣	 next to, next door to
となりあう 	隣り合う	 to adjoin each other, to sit side by side tonariau 2  
となりのしばふはあおい 	となりの芝生は青い	 the grass is always greener on the other side (id)
となりの芝生は青い 	となりのしばふはあおい	 the grass is always greener on the other side (id)
とにかく 	兎に角	 (uk) anyhow, at any rate, anyway, somehow or other, generally speaking, in any case
とにく 	兎肉	 rabbit meat
とにもかくにも 	兎にも角にも	 anyhow, anyway, somehow or other, generally speaking, in any case
との 	殿	 feudal lord, mansion, palace
とのがた 	殿方	 gentlemen, men
とのご 	殿御	 gentlemen
とのさま 	殿様	 feudal lord
とのさまがえる 	殿様蛙	 bullfrog, edible frog
とのさまげい 	殿様芸	 dilettantism, amateurism (in art)
とのさましごと 	殿様仕事	 dilettante work, amateur word (in art)
とのさまそだち 	殿様育ち	 brought up in luxury
とのさまふう 	殿様風	 lordly air
とのたち 	殿達	 the nobility, (polite for) visitors
とのばら 	殿原	 the nobility, (polite for) man
とばく 	賭博	 gambling (vs)
とばす 	飛ばす	 to skip over, to omit
とばり 	帳	 curtain tobari 2  
とびあがる 	跳び上がる	 to spring, to jump up
とびあるく 	飛び歩く	 to walk about
とびいし 	飛び石	 stepping-stones tobiishi 2  
とびうお 	飛び魚	 flying fish tobiuo 2  
とびうつる 	飛び移る	 to jump from one thing to another
とびおきる 	飛び起きる	 to jump up to one's feet
とびおりる 	飛び下りる	 to jump down, to jump off tobioriru 2  
とびかう 	飛び交う	 to fly about, to flutter about, to fly past each other
とびかかる 	飛び掛かる	 to spring upon
とびきり 	飛び切り	 extraordinary (a-no), superior, choice tobikiri 2  
とびこえる 	飛び越える	 to jump over, to clear, to walk over (someone)
とびこす 	飛び越す	 to leap over
とびこみ 	飛び込み	 jump, plunge, dive tobikomi 2  
とびこみだい 	飛び込み台	 diving board
とびこむ 	飛び込む	 to jump in, to leap in, to plunge into, to dive tobikomu 2  
とびさる 	飛び去る	 to flee away, to scatter
とびしょくにん 	鳶職人	 scaffold constructor, steeplejack
とびたつ 	飛び立つ	 to jump up, to start up, to leap to one's feet, to fly away, to take off
とびだしナイフ 	飛び出しナイフ	 switchblade
とびだす 	飛び出す	 to jump out, to rush out, to fly out, to appear suddenly, to protrude, to project
とびちる 	飛び散る	 to fly around, to scatter
とびつく 	飛び付く	 to jump at, to be attracted by
とびでる 	飛び出る	 to be exorbitant (e.g. price), to be ridiculously high
とびのく 	飛び退く	 to jump back
とびのる 	飛び乗る	 to jump on
とびはなれる 	飛び離れる	 to fly apart, to tower over, to be out of the ordinary
とびはねる 	飛び跳ねる	 to jump up and down
とびひ 	飛び火	 flying sparks, leaping flames tobihi 2  
とびまわる 	飛び回る	 to fly about, to skip about, to bustle about
とびら 	扉	 door, opening
とふ 	塗布	 application (of ointment) (vs)
とぶ 	跳ぶ	 to jump, to leap, to spring, to bound, to hop tobu 2  
とぶらい 	弔い	 funeral, burial, condolence
とぶらう 	弔う	 to mourn for, to hold a memorial service for, to condole
とべい 	渡米	 going to U.S.A.
とほ 	徒歩	 walking, going on foot
とほう 	途方	 way, destination, reason
とほうもない 	途方もない	 extraordinary, preposterous, outrageous, absurd
とぼしい 	乏しい	 meagre, scarce, limited, destitute, hard up, scanty, poor
とぼす 	点す	 to light, to turn on
とぼる 	点る	 to burn, to be lighted
とまどい 	戸惑い	 being at sea (vs), losing one's bearings
とまどう 	戸惑う	 to be bewildered, to be perplexed
とまりきゃく 	泊り客	 overnight guest, house guest
とまりぎ 	止まり木	 perch
とまりこみ 	泊まり込み	 staying somewhere (overnight) due to circumstances tomarikomi 2  
とまりこむ 	泊り込む	 to stay overnight
とまりちん 	泊り賃	 hotel charges, tariff
とまる 	止まる	 to come to a halt tomaru 2  
とみ 	富	 wealth, fortune
とみん 	都民	 city populace
とみんかいかん 	都民会館	 Tokyo meeting hall
とむらい 	弔い	 funeral, burial, condolence
とむらいがっせん 	弔い合戦	 battle of revenge
とむらう 	弔う	 to mourn for, to hold a memorial service for, to condole
とめ 	留め	 stopping (suf), remaining (e.g. poste-restante)
とめいせい 	透明性	 transparency
とめおく 	留め置く	 to detain, to keep, to lock up, to retain, to leave (letter) till called for
とめがね 	留め金	 clasp tomegane 2  
とめる 	止める	 to stop (something) tomeru 2  
とも 	供	 accompanying (vs), attendant, companion, retinue tomo 2  
ともあれ 	兎も有れ	 anyhow, in any case
ともうち 	友討ち	 friends shooting one another
ともうら 	共裏	 lining a kimono with the same material as the kimono itself
ともえ 	巴	 huge comma design
ともえがわら 	巴瓦	 comma-pattern tile
ともえり 	共襟	 same-colored neckband
ともかく 	兎も角	 (uk) anyhow, anyway, somehow or other, generally speaking, in any case
ともかくも 	兎も角も	 (uk) anyhow, anyway, somehow or other, generally speaking, in any case
ともかせぎ 	共稼ぎ	 working together, (husband and wife) earning a living together
ともがき 	友垣	 friend
ともがら 	輩	 comrade, fellow
ともぎれ 	共切れ	 same cloth (for patching)
ともぐい 	共食い	 cannibalism (in animals), mutual destruction, internecine struggle, eating each other, damaging each other
ともしい 	乏しい	 meagre, scarce, limited, destitute, hard up, scanty, poor
ともしび 	灯	 light
ともしらが 	共白髪	 growing old together (a couple)
ともす 	点す	 to light, to turn on
ともせん 	共栓	 stopper
ともぜい 	供勢	 attendants, retinue
ともぞろい 	供揃い	 attendants, retinue
ともだおれ 	共倒れ	 falling together, mutual destruction, joint bankruptcy
ともだち 	友達	 friend
ともだちがい 	友達甲斐	 true friendship
ともだちづきあい 	友達付き合い	 friendly relations
ともづり 	友釣り	 fishing with decoys
ともども 	共々	 together, in company tomodomo 2  
ともどもに 	共々に	 together, in company tomodomoni 2  
ともなう 	伴う	 to accompany, to bring with, to be accompanied by, to be involved in
ともなり 	共鳴り	 resonance, sympathy tomonari 2  
ともに 	共に	 sharing with (vs), participate in, both, alike, together, along with, with, including
ともね 	共寝	 sleeping together
ともばたらき 	共働き	 dual income
ともびき 	友引	 good day for business and lawsuits (trial day)
ともびと 	供人	 companion
ともぶね 	僚船	 consort ship
ともまち 	供待ち	 attendant's waiting room
ともまわり 	供回り	 retinue, suite
ともる 	点る	 to burn, to be lighted
とやかく 	兎や角	 anyhow, anyway, somehow or other, generally speaking, in any case, all kinds of this, this and that
とやかくいう 	とやかく言う	 to say all kinds of things, to complain
とやかく言う 	とやかくいう	 to say all kinds of things, to complain
とやまけん 	富山県	 prefecture in the Hokuriku area
とよた 	豐田	 Toyota (company)
とら 	虎	 tiger tora 2  
とらえる 	捉える	 to perceive, to catch sight of, to grasp toraeru 2  
とらかん 	虎巻	 crib notes, key (to a diagram)
とらがり 	虎刈り	 close-cropped (head) toragari 2  
とらどし 	寅年	 year of the tiger
とらぬたぬきのかわざんよう 	捕らぬ狸の皮算用	 don't count your chickens before they're hatched (id)
とらねこ 	虎猫	 tabby cat, tiger cat, wild cat
とらのまき 	虎の巻	 crib notes, key (to a diagram)
とらひげ 	虎鬚	 bristly beard
とらわれる 	囚われる	 to be captured, to be apprehended, to be seized with torawareru 2  
とり 	鳥	 bird, fowl, poultry tori 2  
とりあい 	取り合い	 scramble, struggle
とりあう 	取合う	 to take each other's hands, to compete, to respond
とりあえず 	取りあえず	 at once, first of all, for the time being toriaezu 2  
とりあげる 	取り上げる	 to take up, to pick up, to disqualify, to confiscate, to deprive
とりあつかい 	取り扱い	 treatment, service, handling, management toriatsukai 2  
とりあつかいかた 	取り扱い方	 way of handling
とりあつかいせつめいしょ 	取り扱い説明書	 user's manual, handling instructions toriatsukaisetsumeisho 2  
とりあつかいちゅうい 	取り扱い注意	 handling warning toriatsukaichuui 2  
とりあつかう 	取り扱う	 to treat, to handle, to deal in
とりい 	鳥居	 torii (Shinto shrine archway)
とりいそぎ 	取り急ぎ	 in haste
とりいそぐ 	取り急ぐ	 to hurry, to hasten
とりいる 	取り入る	 to make up to
とりいれる 	取り入れる	 to harvest, to take in, to adopt
とりえ 	取り柄	 worth, redeeming feature
とりおこなう 	執り行う	 to hold a ceremony
とりかえ 	取り替え	 swap, exchange torikae 2  
とりかえす 	取り返す	 to regain, to recover, to get back
とりかえる 	取り替える	 to exchange, to replace
とりかかる 	取り掛かる	 to begin, to set about, to start
とりかこむ 	取り囲む	 to surround, to crowd around
とりかわす 	取り交わす	 to exchange, to interchange
とりきめ 	取り決め	 decision, agreement torikime 2  
とりきめる 	取り決める	 to make agreement
とりくみ 	取り組み	 a bout (in sports, etc.) (io), a match torikumi 2  
とりくむ 	取り組む	 to tackle, to wrestle with, to engage in a bout, to come to grips with
とりけし 	取り消し	 cancellation, cancel (CAN) torikeshi 2  
とりけす 	取り消す	 to cancel
とりこ 	俘	 captive
とりこぼす 	取りこぼす	 to lose information (computers), to lose an easy game
とりこみ 	取り込み	 confusion torikomi 2  
とりこみちゅう 	取り込み中	 in midst of confusion
とりこむ 	取り込む	 to take in, to introduce, to be busy, to be confused
とりさげる 	取り下げる	 to withdraw, to abandon (e.g. a lawsuit)
とりさる 	取り去る	 to remove, to eliminate
とりざた 	取沙汰	 current rumour
とりしきる 	取仕切る	 to manage all by oneself
とりしまり 	取り締まり	 control, management, supervision torishimari 2  
とりしまりやくかい 	取締役会	 board of directors' meeting
とりしまる 	取り締まる	 to manage, to control, to supervise
とりしらべ 	取り調べ	 investigation, examination, inquiry torishirabe 2  
とりしらべる 	取り調べる	 to investigate, to examine
とりすがる 	取り縋る	 to cling to
とりせつ 	取り説	 users' manual (abbr) torisetsu 2  
とりたてる 	取り立てる	 to collect, to extort, to appoint, to promote
とりだす 	取り出す	 to take out, to produce, to pick out
とりちがえる 	取り違える	 to take by mistake
とりつ 	都立	 metro, municipal
とりつかれる 	取り付かれる	 to become obsessed with
とりつぎ 	取り次ぎ	 agency, commission toritsugi 2  
とりつく 	取り付く	 to cling to, to grapple with, to possess, to stick to
とりつくろう 	取り繕う	 to temporize, to smooth over
とりつぐ 	取り次ぐ	 to act as an agent for, to announce (someone), to convey (a message)
とりつける 	取り付ける	 to furnish, to install, to get someone's agreement
とりで 	砦	 fortress
とりどし 	酉年	 year of the cock
とりなおし 	撮り直し	 a retaken photograph
とりなおす 	撮り直す	 to retake (a photograph) (vt) torinaosu 2  
とりなす 	執り成す	 to mediate, to intervene, to smooth torinasu 2  
とりなわ 	捕り縄	 rope for tying criminals
とりにく 	鳥肉	 chicken meat
とりのこす 	取り残す	 to leave behind
とりのぞく 	取り除く	 to remove, to take away, to set apart
とりはからう 	取り計らう	 to manage, to settle, to dispose of, to deal with, to arrange
とりはずし 	取り外し	 removal, dismantling, detaching
とりはずす 	取り外す	 to dismantle, to take something away, to detach
とりはだ 	鳥肌	 goose flesh, pimples
とりひき 	取り引き	 transactions, dealings, business torihiki 2  
とりひきさき 	取り引き先	 customer, client torihikisaki 2  
とりまく 	取り巻く	 to surround, to circle, to enclose
とりまぜる 	取り混ぜる	 to mix, to put together
とりみだす 	取り乱す	 to scatter about, to be distracted
とりむすぶ 	取り結ぶ	 to tie up, conclude
とりもつ 	取り持つ	 to mediate, to entertain, to serve
とりもどす 	取り戻す	 to take back, to regain
とりもの 	捕り物	 capture, arrest torimono 2  
とりものちょう 	捕物帖	 detective story, detective's memoirs
とりょう 	塗料	 paints, painting material
とりよせる 	取り寄せる	 to order, to send away for
とりわけ 	取り分	 especially, above all toriwake 2  
とる 	採る	 to take, to hold toru 2  
とれる 	取れる	 to come off, to be taken off, to be removed, to be obtained, to leave, to come out (e.g. photo), to be interpreted
とろう 	徒労	 fruitless effort, abortive scheme
とろける 	蕩ける	 to be enchanted with torokeru 2  
とろろいも 	とろろ芋	 yam
とろろ芋 	とろろいも	 yam
とわ 	永久	 eternity towa 2  
とん 	屯	 ton
とんえい 	屯営	 military camp, barracks, camping
とんがり 	尖んがり	 (sharp) point
とんがる 	尖んがる	 to get cross, to be displeased with, to get sharp
とんこう 	敦煌	 simplicity
とんし 	頓死	 sudden death
とんしょ 	屯所	 post, quarters, military station, police station
とんせい 	遁世	 seclusion from the world tonsei 2  
とんそう 	遁走	 fleeing (vs), escape
とんそく 	豚足	 pigs feet
とんちゃくしない 	頓着しない	 do not care about (id), do not mind
とんちんかん 	頓珍漢	 absurdity, contradiction
とんでん 	屯田	 colonization (vs)
とんでんへい 	屯田兵	 agricultural soldiers, colonizers
とんびがたかをうむ 	鳶が鷹を生む	 `even plain parents can produce a genius child' (id)
とんぼ 	蜻蛉	 dragonfly
とんぼがえり 	蜻蛉返り	 somersault, returning from a destination right after arriving there
とんぼく 	敦朴	 (arch) honest and homely (an), simple
とんや 	問屋	 wholesale store
とんカツ 	豚カツ	 pork cutlet
と仮定して 	とかていして	 assuming that..., supposing that...
と仮定しても 	とかていしても	 even assuming that..., even granted that...
と共に 	とともに	 together with
と同じように 	とおなじように	 in the same way as, just like
と比べて 	とくらべて	 compared with
