嗚呼	ああ	Ah!, Oh!, Alas!		[sound:SPXJ00001.mp3]
代わる代わる	かわるがわる	alternately	【副】  轮流	
乾	かん	heaven, emperor	【名】  西北方; 乾	[sound:SPXJ04734.mp3]
管	かん	pipe, tube	【名】  管子	[sound:SPXJ15368.mp3]
幹	かん	(tree) trunk	【名】  树干; 事物的重要部分	[sound:SPXJ72418.mp3]
冠	かん	crown, diadem, first, best, peerless, cap, naming, designating, initiating on coming of age, top character ra	【名】  冠冕; 首位	[sound:SPXJ15371.mp3]
観	かん	look, appearance, spectacle	【名】  观感; 景象; 道宫	[sound:SPXJ15364.mp3]
館	かん	house, hall, building, hotel, inn, guesthouse	【名】  贵族的宅第; 屋顶形船篷; (牛车, 马车等的)篷; 临时寓所; 员外; 老爷	[sound:SPXJ76170.mp3]
簡易	かんい	simplicity, easiness, quasi-	【名】  【形動】  简易; 简便	[sound:SPXJ15394.mp3]
感慨	かんがい	strong feelings, deep emotion	【名】  感慨	[sound:SPXJ15435.mp3]
寒気	かんき	cold, frost, chill	【名】  寒冷; 寒气	[sound:SPXJ15496.mp3]
簡潔	かんけつ	brevity, conciseness, simplicity	【名】  【形動】  简洁	[sound:SPXJ15582.mp3]
還元	かんげん	resolution, reduction, return to origins	【名】  【自他サ】  返回原样; 还原(化学)	[sound:SPXJ15598.mp3]
刊行	かんこう	publication, issue	【名】  【他サ】  出版; 发行	[sound:SPXJ15622.mp3]
慣行	かんこう	customary practice, habit, traditional event	【名】  【他サ】  例行; 惯行	[sound:SPXJ15620.mp3]
勧告	かんこく	advice, counsel, remonstrance, recommendation	【名】  【他サ】  劝告	[sound:SPXJ15653.mp3]
看護	かんご	nursing, (army) nurse	【名】  【他サ】  护理; 看护	[sound:SPXJ15614.mp3]
漢語	かんご	Chinese word, Sino-Japanese word	【名】  汉语; 音读汉语词	[sound:SPXJ15615.mp3]
換算	かんさん	conversion, change, exchange	【名】  【他サ】  换算; 折合	[sound:SPXJ15707.mp3]
監視	かんし	observation, guarding, inspection, surveillance	【名】  【他サ】  监视	[sound:SPXJ15712.mp3]
慣習	かんしゅう	usual (historical) custom	【名】  习惯	[sound:SPXJ15781.mp3]
観衆	かんしゅう	spectators, onlookers, members of the audience	【名】  观众(同けんぶつにん)	[sound:SPXJ15780.mp3]
干渉	かんしょう	interference, intervention	【名】  【自サ】  干涉; 干扰	[sound:SPXJ15800.mp3]
感触	かんしょく	sense of touch, feeling, sensation	【名】  触觉; 感觉	[sound:SPXJ15840.mp3]
肝心	かんじん	essential, fundamental, crucial, vital, main	【名】  【形動】  首要; 重要	[sound:SPXJ15857.mp3]
歓声	かんせい	cheer, shout of joy	【名】  欢呼声	[sound:SPXJ15900.mp3]
感染	かんせん	infection, contagion	【名】  【自サ】  感染	[sound:SPXJ15936.mp3]
幹線	かんせん	main line, trunk line	【名】  干线	[sound:SPXJ15934.mp3]
関税	かんぜい	customs, duty, tariff	【名】  关税	[sound:SPXJ15905.mp3]
簡素	かんそ	simplicity, plain	【形動】  简单朴素	[sound:SPXJ15958.mp3]
観点	かんてん	point of view	【名】  观点; 见地(同みかた)	[sound:SPXJ16092.mp3]
感度	かんど	sensitivity, severity (quake)	【名】  灵敏度; 感度	[sound:SPXJ16102.mp3]
幹部	かんぶ	management, (executive) staff, leaders	【名】  干部; 军队的将校尉士	[sound:SPXJ16237.mp3]
勘弁	かんべん	pardon, forgiveness, forbearance	【名】  【他サ】  宽恕; 容忍; 精通数理	[sound:SPXJ16278.mp3]
完璧	かんぺき	perfection, completeness, flawless		[sound:SPXJ16270.mp3]
感無量	かんむりょう	deep feeling, inexpressible feeling, filled with emotion	【形動】  无限感慨	[sound:SPXJ16321.mp3]
勧誘	かんゆう	invitation, solicitation, canvassing, inducement, persuasion, encouragement	【名】  【他サ】  劝诱; 劝说	[sound:SPXJ16352.mp3]
関与	かんよ	participation, taking part in, participating in, being concerned in	【名】  【自サ】  干预; 参与	[sound:SPXJ16359.mp3]
慣用	かんよう	common, customary	【名】  【他サ】  惯用	[sound:SPXJ16362.mp3]
寛容	かんよう	forbearance, tolerance, generosity	【名】  【形動】  【他サ】  容许; 宽容	[sound:SPXJ16360.mp3]
観覧	かんらん	viewing	【名】  【他サ】  观看; 参观	[sound:SPXJ16375.mp3]
官僚	かんりょう	bureaucrat, bureaucracy	【名】  官吏; 官僚	[sound:SPXJ16400.mp3]
慣例	かんれい	custom, precedent, of convention	【名】  惯例; 老规矩	[sound:SPXJ16406.mp3]
還暦	かんれき	60th birthday		[sound:SPXJ16413.mp3]
貫禄	かんろく	presence, dignity	【名】  尊严; 威信; 身份	
緩和	かんわ	relief, mitigation	【名】  【自他サ】  缓和(同ゆるめること)	[sound:SPXJ16426.mp3]
蓋	がい	cover, lid, cap	【名】  (瓶, 箱, 锅等的)盖, 盖子; (贝类的)盖	[sound:SPXJ66034.mp3]
街	がい	~street, ~quarters	【造語】  街道	[sound:SPXJ71499.mp3]
外貨	がいか	imported goods, foreign money	【名】  外国货币; 进口货	[sound:SPXJ11012.mp3]
外観	がいかん	appearance, exterior, facade	【名】  外表; 外观	[sound:SPXJ11055.mp3]
外相	がいしょう	Foreign Minister	【名】  外交大臣	[sound:SPXJ11302.mp3]
害する	がいする	to injure, to damage, to harm, to kill, to hinder	【他サ】  损害; 伤害; 妨碍; 糟蹋; 危害; 杀害	[sound:SPXJ11350.mp3]
概説	がいせつ	general statement, outline	【名】  【他サ】  概说; 概论	[sound:SPXJ11367.mp3]
該当	がいとう	corresponding, answering to, coming under	【名】  【自サ】  相当; 适合	[sound:SPXJ11547.mp3]
街頭	がいとう	in the street	【名】  街上	[sound:SPXJ11548.mp3]
概念	がいねん	general idea, concept, notion	【名】  概念	[sound:SPXJ11590.mp3]
外来	がいらい	imported, outpatient clinic	【名】  外来; 门诊	[sound:SPXJ11719.mp3]
概略	がいりゃく	outline, summary, gist, in brief	【名】  概况; 概要  【副】  大致; 大略	[sound:SPXJ11735.mp3]
学芸	がくげい	arts and sciences, liberal arts	【名】  学业和技艺	[sound:SPXJ12335.mp3]
学士	がくし	university graduate	【名】  学士	[sound:SPXJ12369.mp3]
学説	がくせつ	theory	【名】  学说	[sound:SPXJ12455.mp3]
楽譜	がくふ	score (music)	【名】  乐谱	[sound:SPXJ12539.mp3]
学歴	がくれき	academic background	【名】  学历	[sound:SPXJ12611.mp3]
崖	がけ	cliff	【名】  悬崖; 绝壁	[sound:SPXJ12634.mp3]
雅致	がち	artistry, good taste, elegance, grace		[sound:SPXJ13646.mp3]
がっくり	がっくり	heartbroken	【副】  【自サ】  显然的; 急骤的变化	[sound:SPXJ13795.mp3]
合唱	がっしょう	chorus, singing in a chorus	【名】  【他サ】  齐唱; 同呼; (建)主桶	[sound:SPXJ13843.mp3]
がっしり	がっしり	firmly, solidly, tough	【副】  【自サ】  粗壮; 坚固; 严密; 紧密	[sound:SPXJ13850.mp3]
合致	がっち	agreement, concurrence, conforming to	【名】  【自サ】  一致; 吻合	[sound:SPXJ13877.mp3]
がっちり	がっちり	solidly built, tightly, shrewd, calculating	【副】  【自サ】  坚固; 用钱仔细	[sound:SPXJ13882.mp3]
月日	がっぴ	(the) date	【名】  月亮和太阳; 时光; 岁月; 月日; 日期	[sound:SPXJ13934.mp3]
合併	がっぺい	combination, union, amalgamation, consolidation, merger, coalition, fusion, annexation, affiliation, incorpor	【名】  【自他サ】  合并	[sound:SPXJ13946.mp3]
がる	がる	feel	【接尾】  表示感觉; 表示自以为	
側	がわ	side, row, surroundings, part, (watch) case	【名】  一侧; 方面; 立场; 周围; 旁边  【接尾】  侧; 方面; (表)壳; 列; 行; 排	[sound:SPXJ15216.mp3]
癌	がん	cancer	【名】  癌症; 祸根	[sound:SPXJ15387.mp3]
眼科	がんか	ophthalmology	【名】  眼科	[sound:SPXJ15429.mp3]
眼球	がんきゅう	eyeball	【名】  眼球; 眼珠	[sound:SPXJ15526.mp3]
眼鏡	がんきょう	spectacles, glasses	【名】  眼镜; 判断; 估计	[sound:SPXJ74644.mp3]
頑固	がんこ	stubbornness, obstinacy	【名】  【形動】  顽固; 久治不愈的病	[sound:SPXJ15616.mp3]
願書	がんしょ	written application or petition	【名】  申请书	[sound:SPXJ15797.mp3]
頑丈	がんじょう	solid, firm, stout, burly, strong, sturdy	【形動】  构造坚固; 身体强健	[sound:SPXJ15825.mp3]
岩石	がんせき	rock	【名】  岩石	[sound:SPXJ15919.mp3]
元年	がんねん	first year (of a specific reign)	【名】  元年	[sound:SPXJ16162.mp3]
贋物	がんぶつ	imitation, counterfeit, forgery, sham	【名】  冒牌货; 赝品	[sound:SPXJ56288.mp3]
元来	がんらい	originally, primarily, essentially, logically, naturally	【副】  本来; 原来(同もともと)	[sound:SPXJ16369.mp3]
生	き	pure, undiluted, raw, crude	【名】  生命; 生	[sound:SPXJ06618.mp3]
期	き	period, time	【名】  时期; 时机; 约定	[sound:SPXJ16436.mp3]
企画	きかく	planning, project	【名】  【他サ】  计划; 规划	[sound:SPXJ16603.mp3]
規格	きかく	standard, norm	【名】  规格; 标准	[sound:SPXJ16604.mp3]
着飾る	きかざる	to dress up	【他五】  打扮; 盛装	[sound:SPXJ16616.mp3]
器官	きかん	organ (of body), instrument	【名】  器官	[sound:SPXJ16643.mp3]
季刊	きかん	quarterly (e.g. magazine)	【名】  季刊	[sound:SPXJ16657.mp3]
危害	きがい	injury, harm, danger	【名】  危害; 灾祸; 灾害	[sound:SPXJ16573.mp3]
気兼ね	きがね	hesitance, diffidence, feeling constraint, fear of troubling someone, having scruples about doing someth	【名】  【自サ】  多心; 拘泥; 顾虑	
気軽	きがる	cheerful, buoyant, lighthearted	【形動】  舒畅; 爽快	[sound:SPXJ16639.mp3]
危機	きき	crisis	【名】  危机	[sound:SPXJ16690.mp3]
聞き取り	ききとり	listening comprehension	【名】  听见; 听懂; 听力	[sound:SPXJ16770.mp3]
効き目	ききめ	effect, virtue, efficacy, impression	【名】  效验; 效力	[sound:SPXJ16785.mp3]
帰京	ききょう	returning to Tokyo	【名】  【自サ】  返京; 回首都	[sound:SPXJ16800.mp3]
基金	ききん	fund, foundation	【名】  基金	[sound:SPXJ16827.mp3]
棄権	きけん	abstain from voting, renunciation of a right	【名】  【他サ】  弃权	[sound:SPXJ16910.mp3]
喜劇	きげき	comedy, funny show	【名】  喜剧; 滑稽剧	[sound:SPXJ16902.mp3]
起源	きげん	origin, beginning, rise	【名】  起源(同おこり; はじまり)	[sound:SPXJ16911.mp3]
機構	きこう	mechanism, organization	【名】  组织; 机构; 构造; 结构	[sound:SPXJ16938.mp3]
既婚	きこん	marriage, married	【名】  已婚	[sound:SPXJ16982.mp3]
記載	きさい	mention, entry	【名】  【他サ】  记载; 刊登	[sound:SPXJ16987.mp3]
気障	きざ	affectation, conceit, snobbery	【形動】  装模作样; 高傲; 令人作呕; 刺眼; 讨厌; 可憎	[sound:SPXJ16985.mp3]
兆し	きざし	signs, omen, symptoms	【名】  预兆; 苗头; 萌芽; 眉目	[sound:SPXJ17005.mp3]
兆	きざし	signs, omen, symptoms	【名】  预兆; 征兆; 兆(壹万亿)	[sound:SPXJ47285.mp3]
軋む	きしむ	to jar, to creak, to grate		
気象	きしょう	weather, climate	【名】  气象; 天性; 秉性	[sound:SPXJ17154.mp3]
期日	きじつ	fixed date, settlement date	【名】  日期; 期限	[sound:SPXJ17070.mp3]
記述	きじゅつ	describing, descriptor		[sound:SPXJ17133.mp3]
奇数	きすう	odd number	【名】  奇数	[sound:SPXJ17230.mp3]
築く	きずく	to build, to pile up, to amass	【他五】  砌; 修筑	[sound:SPXJ17242.mp3]
傷付く	きずつく	to be hurt, to be wounded, to get injured	【自五】  受伤; 负伤; 弄出瑕疵; 遭受损害	
規制	きせい	regulation	【名】  【他サ】  规定; 限制	[sound:SPXJ17271.mp3]
汽船	きせん	steamship	【名】  轮船	[sound:SPXJ17317.mp3]
寄贈	きそう	donation, presentation	【名】  【他サ】  赠送; 捐赠	[sound:SPXJ17338.mp3]
貴族	きぞく	noble, aristocrat	【名】  贵族	[sound:SPXJ17353.mp3]
鍛える	きたえる	to forge, to drill, to temper, to train, to discipline	【他下一】  锤炼; 锻炼	[sound:SPXJ17400.mp3]
来る	きたる	to come, to arrive, to be due to, to be next, to be forthcoming	【自カ】  来; 来到; 由来; 产生; 出现; 提起...  【補動】  一直在...; ...起来; ...去; ...来; 向这边...来	[sound:SPXJ21449.mp3]
気立て	きだて	disposition, nature	【名】  性情; 性格	[sound:SPXJ17416.mp3]
きちっと	きちっと	exactly, perfectly		[sound:SPXJ17454.mp3]
几帳面	きちょうめん	methodical, punctual, steady		[sound:SPXJ17470.mp3]
切っ掛け	きっかけ	chance, start, cue, excuse, motive, impetus, occasion	【名】  起首; 开端; 机会; 一刹那; 记号; 梆子(歌舞伎开闭幕或换道具时打的)	
きっかり	きっかり	exactly, precisely	【副】  正; 恰(同かっきり)	[sound:SPXJ17492.mp3]
喫茶	きっさ	tea drinking, tea house	【名】  饮茶	[sound:SPXJ17512.mp3]
きっちり	きっちり	precisely, tightly	【副】  【自サ】  正好; 恰好	[sound:SPXJ17539.mp3]
屹度	きっと	1. (uk) surely, undoubtedly, certainly, without fail, 2. sternly, severely		
きっぱり	きっぱり	clearly, plainly, distinctly	【副】  【自サ】  断然; 清楚	[sound:SPXJ17553.mp3]
規定	きてい	regulation, provisions	【名】  【他サ】  规定	[sound:SPXJ17565.mp3]
起点	きてん	starting point	【名】  起点; 出发点	[sound:SPXJ17575.mp3]
軌道	きどう	orbit, railroad track	【名】  铁轨; 钢轨; 轨道	[sound:SPXJ17592.mp3]
甲	きのえ	1st in rank, first sign of the Chinese calendar, shell, instep, grade A	【名】  (十干之一)甲	[sound:SPXJ23933.mp3]
気配	きはい	indication, market trend, worry	【名】  情形; 样子; 苗头; 行情; 景气	[sound:SPXJ22860.mp3]
規範	きはん	model, standard, pattern, norm, criterion, example	【名】  规范; 模范	[sound:SPXJ17764.mp3]
気品	きひん	aroma	【名】  品格; 气度; 气派(同きぐらい)	[sound:SPXJ17792.mp3]
気風	きふう	character, traits, ethos	【名】  风气; 风尚; 特性; 气派	[sound:SPXJ17806.mp3]
起伏	きふく	undulation	【名】  【自サ】  凹凸; 起伏; 荣枯; 盛衰	[sound:SPXJ17814.mp3]
規模	きぼ	scale, scope, plan, structure	【名】  规模; 榜样; 典型	[sound:SPXJ17845.mp3]
気まぐれ	きまぐれ	whim, caprice, whimsy, fickle, moody, uneven temper		[sound:SPXJ17867.mp3]
生真面目	きまじめ	too serious, person who is too serious, honesty, sincerity	【名】  【形動】  一本正经; 非常认真	[sound:SPXJ17872.mp3]
期末	きまつ	end of term	【名】  期末	[sound:SPXJ17875.mp3]
決まり悪い	きまりわるい	feeling awkward, being ashamed		
決まる	きまる	to be decided, to be settled, to look good in (clothes)	【自五】  决定; 规定; 固定; 必然; 由...决定; 有总结	[sound:SPXJ17888.mp3]
記名	きめい	signature, register	【名】  【自サ】  记名; 签名	[sound:SPXJ17925.mp3]
脚色	きゃくしょく	dramatization (e.g. film)	【名】  【他サ】  改写成剧本或电影; 夸大之词; 剧本结构	[sound:SPXJ18001.mp3]
脚本	きゃくほん	scenario	【名】  剧本; 脚本	[sound:SPXJ18044.mp3]
客観	きゃっかん	objective	【名】  客观	[sound:SPXJ18074.mp3]
規約	きやく	agreement, rules, code	【名】  规章; 规约	[sound:SPXJ17963.mp3]
救援	きゅうえん	relief, rescue, reinforcement	【名】  【他サ】  救援	[sound:SPXJ18176.mp3]
休学	きゅうがく	temporary absence from school, suspension	【名】  【自サ】  休学	[sound:SPXJ18194.mp3]
究極	きゅうきょく	ultimate, final, eventual	【名】  1. 究竟；结局；根本；最终  2. 极品	[sound:SPXJ18228.mp3]
窮屈	きゅうくつ	narrow, tight, stiff, rigid, uneasy, formal, constrained	【名】  【形動】  窄小; 狭窄; 感觉受拘束; 缺乏通融性; 紧张; 缺乏	[sound:SPXJ18233.mp3]
球根	きゅうこん	(plant) bulb	【名】  球根; 鳞茎	[sound:SPXJ18267.mp3]
救済	きゅうさい	relief, aid, rescue, salvation, help	【名】  【他サ】  救济	[sound:SPXJ18269.mp3]
給食	きゅうしょく	school lunch, providing a meal	【名】  【自サ】  供给饮食	[sound:SPXJ18328.mp3]
給仕	きゅうじ	office boy (girl), page, waiter	【名】  【自サ】  伺候(吃饭); 工友; 茶房	[sound:SPXJ18281.mp3]
休戦	きゅうせん	truce, armistice	【名】  【自サ】  停战	[sound:SPXJ18375.mp3]
旧知	きゅうち	old friend, old friendship	【名】  故知; 老友	[sound:SPXJ18400.mp3]
宮殿	きゅうでん	palace	【名】  宫殿	[sound:SPXJ18421.mp3]
窮乏	きゅうぼう	poverty	【名】  【自サ】  贫穷; 贫困	[sound:SPXJ18486.mp3]
丘陵	きゅうりょう	hill	【名】  丘陵	[sound:SPXJ18526.mp3]
共	きょう	both, neither (neg), all, and, as well as, including, with, together with, plural ending	【名】  共同; 同样一起; 一块	[sound:SPXJ53651.mp3]
供	きょう	offer, present, submit, serve (a meal), supply	【名】  (长辈, 贵人等的)随从	[sound:SPXJ53644.mp3]
驚異	きょうい	wonder, miracle	【名】  惊异; 惊奇	[sound:SPXJ18596.mp3]
教員	きょういん	teaching staff	【名】  教员; 教师	[sound:SPXJ18615.mp3]
教科	きょうか	subject, curriculum	【名】  教授科目	[sound:SPXJ18630.mp3]
協会	きょうかい	association, society, organization	【名】  协会	[sound:SPXJ18636.mp3]
共感	きょうかん	sympathy, response	【名】  【自サ】  共感; 共鸣	[sound:SPXJ18667.mp3]
共学	きょうがく	coeducation	【名】  【自サ】  同校	[sound:SPXJ18654.mp3]
協議	きょうぎ	conference, consultation, discussion, negotiation	【名】  【他サ】  协议; 协商	[sound:SPXJ18683.mp3]
教訓	きょうくん	lesson, precept, moral instruction	【名】  【他サ】  教训; 规戒	[sound:SPXJ18707.mp3]
境遇	きょうぐう	environment, circumstances	【名】  境遇; 处境	[sound:SPXJ18705.mp3]
強行	きょうこう	forcing, enforcement	【名】  【他サ】  强行; 硬干	[sound:SPXJ18737.mp3]
強硬	きょうこう	firm, vigorous, unbending, unyielding, strong, stubborn	【形動】  强硬	[sound:SPXJ18736.mp3]
凶作	きょうさく	bad harvest, poor crop	【名】  歉收	[sound:SPXJ18763.mp3]
共産	きょうさん	communism	【名】  共产	[sound:SPXJ18771.mp3]
教材	きょうざい	teaching materials	【名】  教材	[sound:SPXJ18760.mp3]
教習	きょうしゅう	training, instruction	【名】  【他サ】  教习; 训练	[sound:SPXJ18817.mp3]
郷愁	きょうしゅう	nostalgia, homesickness	【名】  怀念故乡; 思念; 想念	[sound:SPXJ18815.mp3]
教職	きょうしょく	teaching certificate, the teaching profession	【名】  教师的职务; 教导信徒的职务	[sound:SPXJ18851.mp3]
享受	きょうじゅ	reception, acceptance, enjoyment, being given	【名】  【他サ】  享受; 享有	[sound:SPXJ18808.mp3]
興じる	きょうじる	to amuse oneself, to make merry	【自上一】  高兴; 兴高采烈	[sound:SPXJ18854.mp3]
強制	きょうせい	obligation, coercion, compulsion, enforcement	【名】  【他サ】  强制; 强迫	[sound:SPXJ18875.mp3]
共存	きょうそん	coexistence		[sound:SPXJ18931.mp3]
姉妹	きょうだい	sisters	【名】  姊妹; 同一系统之物	[sound:SPXJ18938.mp3]
協調	きょうちょう	co-operation, conciliation, harmony, firm (market) tone	【名】  【自サ】  协调; 合作	[sound:SPXJ18964.mp3]
協定	きょうてい	arrangement, pact, agreement	【名】  【他サ】  协定	[sound:SPXJ18972.mp3]
脅迫	きょうはく	threat, menace, coercion, terrorism	【名】  【他サ】  胁迫; 恐吓	[sound:SPXJ19017.mp3]
共鳴	きょうめい	resonance, sympathy	【名】  【自サ】  共鸣; 共振; 同情; 同感	[sound:SPXJ19063.mp3]
郷里	きょうり	birth-place, home town	【名】  故乡	[sound:SPXJ19088.mp3]
強烈	きょうれつ	strong, intense, severe	【形動】  强烈	[sound:SPXJ19100.mp3]
共和	きょうわ	republicanism, cooperation	【名】  【自サ】  共和	[sound:SPXJ19105.mp3]
曲	きょく	tune, piece of music	【名】  窝; 弯; 阴暗处; 心事; 隐衷; 脸谱; 黑眼圈; 阴影	[sound:SPXJ19146.mp3]
局限	きょくげん	limit, localize	【名】  【他サ】  局限; 限定	[sound:SPXJ19168.mp3]
極端	きょくたん	extreme, extremity	【名】  【形動】  极端	[sound:SPXJ19192.mp3]
居住	きょじゅう	residence	【名】  【自サ】  居住; 住处; 住址	[sound:SPXJ19260.mp3]
拒絶	きょぜつ	refusal, rejection	【名】  【他サ】  拒绝	[sound:SPXJ19288.mp3]
拒否	きょひ	denial, veto, rejection, refusal	【名】  【他サ】  拒绝; 否决	[sound:SPXJ19329.mp3]
許容	きょよう	permission, pardon	【名】  【他サ】  容许; 宽容	[sound:SPXJ19363.mp3]
距離	きょり	distance, range	【名】  间隔; 距离	[sound:SPXJ19369.mp3]
寄与	きよ	contribution, service	【名】  【自サ】  贡献; 有助于...	[sound:SPXJ18546.mp3]
清らか	きよらか	clean, pure, chaste	【形動】  不混浊; 洁净; 清爽	[sound:SPXJ19368.mp3]
気楽	きらく	at ease, comfortable	【名】  【形動】  舒畅; 安闲; 无挂虑; 坦然	[sound:SPXJ19393.mp3]
煌びやか	きらびやか	gorgeous, gaudy, dazzling, gay		
切り	きり	limits, end, bounds, period, place to leave off, closing sentence, all there is, only, since	【名】  切开; 切断; 段落; 限度; 终结; (净琉璃能乐的)煞尾; 交货期限(同げんげつ)	[sound:SPXJ19412.mp3]
桐	きり	paulownia tree	【名】  梧桐; 梧桐花叶的图案; 琴的别称; 金币的别称	[sound:SPXJ19414.mp3]
切り替える	きりかえる	to change, to exchange, to convert, to renew, to throw a switch, to replace, to switch over	【他下一】  改换; 转换; 兑换	[sound:SPXJ19439.mp3]
気流	きりゅう	atmospheric current	【名】  气流	[sound:SPXJ19585.mp3]
奇麗	きれい	pretty, clean, nice, tidy, beautiful, fair	【形動】  美丽; 好看; 干净; 洁净; 完全; 彻底; 干脆; 漂亮	
切れ目	きれめ	break, pause, gap, end, rift, interruption, cut, section, notch, incision, end (of a task)	【名】  裂缝; 断开处; 间断; 中断; 段落; 断绝时	[sound:SPXJ19650.mp3]
際	きわ	edge, brink, verge, side	【名】  时候; 时机	[sound:SPXJ19675.mp3]
木綿	きわた	cotton	【名】  棉花; 棉线; 棉织品	[sound:SPXJ77206.mp3]
極めて	きわめて	exceedingly, extremely	【副】  极其; 非常	[sound:SPXJ19697.mp3]
僅	きん	a little, small quantity		
近眼	きんがん	nearsightedness, shortsightedness, myopia	【名】  近视眼	[sound:SPXJ19763.mp3]
緊急	きんきゅう	urgent, pressing, emergency	【名】  【形動】  紧急; 急迫	[sound:SPXJ19777.mp3]
近々	きんきん	nearness, before long		[sound:SPXJ19791.mp3]
近郊	きんこう	suburbs, outskirts	【名】  近郊; 郊区	[sound:SPXJ19819.mp3]
均衡	きんこう	equilibrium, balance	【名】  【自サ】  均衡; 平衡	[sound:SPXJ19817.mp3]
近視	きんし	shortsightedness	【名】  近视	[sound:SPXJ19852.mp3]
禁じる	きんじる	to prohibit	【他上一】  禁止; 禁忌; 控制(同きんずる)	[sound:SPXJ19916.mp3]
禁ずる	きんずる	to forbid, to suppress	【他サ】  禁止; 不准; 禁忌; 戒除; 抑制; 控制	[sound:SPXJ19926.mp3]
勤勉	きんべん	industry, diligence	【名】  【形動】  勤勉; 勤劳	[sound:SPXJ20071.mp3]
勤務	きんむ	service, duty, work	【名】  【自サ】  勤务; 工作	[sound:SPXJ20090.mp3]
禁物	きんもつ	taboo, forbidden thing	【名】  严禁的事物; 切忌的事物	[sound:SPXJ20106.mp3]
勤労	きんろう	labor, exertion, diligent service	【名】  【自サ】  勤劳; 劳动	[sound:SPXJ20153.mp3]
議案	ぎあん	legislative bill	【名】  议案	[sound:SPXJ16461.mp3]
戯曲	ぎきょく	play, drama	【名】  剧本; 戏剧	[sound:SPXJ16821.mp3]
議決	ぎけつ	resolution, decision, vote	【名】  【他サ】  议决; 表决	[sound:SPXJ16906.mp3]
議事堂	ぎじどう	Diet building	【名】  会议厅; 国会大厦	[sound:SPXJ17076.mp3]
犠牲	ぎせい	sacrifice	【名】  牺牲; 付出代价; (祭神时献)牺牲	[sound:SPXJ03355.mp3]
偽造	ぎぞう	forgery, falsification, fabrication, counterfeiting	【名】  【他サ】  假造	[sound:SPXJ17342.mp3]
議題	ぎだい	topic of discussion, agenda	【名】  讨论题目	[sound:SPXJ17392.mp3]
技能	ぎのう	technical skill, ability, capacity	【名】  技能; 本领	[sound:SPXJ17696.mp3]
逆転	ぎゃくてん	(sudden) change, reversal, turn-around, coming from behind (baseball)	【名】  【自他サ】  反转; 逆转; 倒退; 翻筋斗	[sound:SPXJ18031.mp3]
行	ぎょう	line, row, verse	【名】  (字的)行; 修行; 行书; 行; 实践	[sound:SPXJ20758.mp3]
業者	ぎょうしゃ	trader, merchant	【名】  工商业者; 同业者	[sound:SPXJ18797.mp3]
行政	ぎょうせい	administration	【名】  行政; 政务	[sound:SPXJ18881.mp3]
業績	ぎょうせき	achievement, performance, results, work, contribution	【名】  业绩; 成就	[sound:SPXJ18904.mp3]
業務	ぎょうむ	business, affairs, duties, work	【名】  业务; 工作	[sound:SPXJ19060.mp3]
玉	ぎょく	king (shogi)	【名】  玉; 宝石; 珍珠; 球; (凹凸)镜片; 透镜(同レンズ); (圆形)硬币; 电灯泡; 子弹; 炮弹	[sound:SPXJ19149.mp3]
漁船	ぎょせん	fishing boat	【名】  渔船	[sound:SPXJ03444.mp3]
漁村	ぎょそん	fishing village	【名】  渔村	[sound:SPXJ19296.mp3]
義理	ぎり	duty, sense of duty, honor, decency, courtesy, debt of gratitude, social obligation	【名】  情义; 情分; 情理; 道理; 亲戚关系; 词的意思	[sound:SPXJ19415.mp3]
疑惑	ぎわく	doubt, misgivings, distrust, suspicion	【名】  疑惑; 疑心	[sound:SPXJ19677.mp3]
吟味	ぎんみ	testing, scrutiny, careful investigation	【名】  【他サ】  仔细体会; 斟酌; 考量; 审问; 审讯	[sound:SPXJ20083.mp3]
区	く	ward, district, section	【名】  地区; 区域; 区间; 段	[sound:SPXJ20158.mp3]
食い違う	くいちがう	to cross each other, to run counter to, to differ, to clash, to go awry	【自五】  不一致; 有分歧; 交错; 不合拢	[sound:SPXJ20231.mp3]
空腹	くうふく	hunger	【名】  【形動】  空腹; 空肚子	[sound:SPXJ20349.mp3]
区画	くかく	division, section, compartment, boundary, area, block	【名】  【他サ】  划区; 分区; 地区; 区域	[sound:SPXJ20389.mp3]
区間	くかん	section (of track etc)	【名】  区间; 段	[sound:SPXJ20400.mp3]
茎	くき	stalk	【名】  茎; 梗	[sound:SPXJ20404.mp3]
区切り	くぎり	an end, a stop, punctuation	【名】  逗点; 小段落; 隔开; 划分	[sound:SPXJ20422.mp3]
潜る	くぐる	1. to drive, to pass through, 2. to evade, to hide, 3. to dive (into or under water), to go undergro	【自五】  走过; 通过; 潜(水); 钻漏洞	[sound:SPXJ75361.mp3]
種々	くさぐさ	variety		[sound:SPXJ20488.mp3]
嚏	くしゃみ	sneeze		[sound:SPXJ20593.mp3]
旧事	くじ	past events, bygones		
籤引	くじびき	lottery, drawn lot		
擽ぐったい	くすぐったい	ticklish		
草臥れる	くたびれる	to get tired, to wear out	【自下一】  疲劳; 疲乏; 穿旧; 用旧  【接尾】  表示疲乏; 腻烦	
下らない	くだらない	good-for-nothing, stupid, trivial, worthless	【連語】  无用; 无益; 不足取; 不在某数之下	
件	くだん	example, precedent, the usual, the said, the above-mentioned, (man) in question	【名】  曾经提过的事物; 如上所述	[sound:SPXJ20764.mp3]
口ずさむ	くちずさむ	to hum something, to sing to oneself		[sound:SPXJ20823.mp3]
